City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,souillac,MU,71.98,scattered clouds,-20.5167,57.5167,
8,saint george,US,74.95,clear sky,37.1041,-113.5841,
9,alofi,NU,73.29,broken clouds,-19.0595,-169.9187,
13,russell,US,81.12,clear sky,32.3502,-85.1999,
15,albany,US,80.28,clear sky,42.6001,-73.9662,
16,pula,HR,88.36,clear sky,44.8683,13.8481,
17,karmala,IN,86.72,overcast clouds,18.4167,75.2,
18,bubaque,GW,80.49,broken clouds,11.2833,-15.8333,
19,rikitea,PF,73.44,clear sky,-23.1203,-134.9692,
21,kapaa,US,73.72,light rain,22.0752,-159.319,
23,nikolskoye,RU,71.49,overcast clouds,59.7035,30.7861,
24,hengshui,CN,72.75,clear sky,37.7322,115.7011,
25,surt,LY,88.12,clear sky,31.2089,16.5887,
26,quatre cocos,MU,72.09,few clouds,-20.2078,57.7625,
28,avera,US,82.54,overcast clouds,33.194,-82.5271,
30,vila franca do campo,PT,81.19,clear sky,37.7167,-25.4333,
31,port elizabeth,ZA,76.1,clear sky,-33.918,25.5701,
32,bredasdorp,ZA,71.83,clear sky,-34.5322,20.0403,
34,boyle,US,75.69,broken clouds,37.6334,-84.8666,
38,santa comba,ES,74.68,broken clouds,43.0331,-8.8093,
40,praia da vitoria,PT,77.76,scattered clouds,38.7333,-27.0667,
41,bethel,US,81.48,broken clouds,41.3712,-73.414,
45,castro,BR,72.19,broken clouds,-24.7911,-50.0119,
46,hohhot,CN,71.89,few clouds,40.8106,111.6522,
47,payyannur,IN,80.11,overcast clouds,12.1,75.2,
48,puerto ayora,EC,70.61,overcast clouds,-0.7393,-90.3518,
49,hilo,US,76.28,few clouds,19.7297,-155.09,
50,victoria,HK,89.38,overcast clouds,22.2855,114.1577,
53,cacoal,BR,89.26,broken clouds,-11.4386,-61.4472,
58,san patricio,US,86.9,clear sky,28.017,-97.5169,
60,arraial do cabo,BR,80.56,clear sky,-22.9661,-42.0278,
61,amapa,BR,86.2,few clouds,1.0,-52.0,
64,bhikangaon,IN,82.08,light rain,21.8667,75.95,
65,belaya kholunitsa,RU,74.93,scattered clouds,58.84,50.8528,
66,hambantota,LK,79.14,broken clouds,6.1241,81.1185,
68,vaini,TO,73.56,broken clouds,-21.2,-175.2,
70,tomatlan,MX,75.33,overcast clouds,19.9333,-105.25,
71,halifax,CA,80.53,few clouds,44.6453,-63.5724,
72,atuona,PF,76.77,broken clouds,-9.8,-139.0333,
73,jamestown,US,77.02,overcast clouds,42.097,-79.2353,
74,ribeira grande,PT,79.2,few clouds,38.5167,-28.7,
75,lorengau,PG,81.48,broken clouds,-2.0226,147.2712,
79,san andres,CO,82.42,scattered clouds,12.5847,-81.7006,
80,touros,BR,82.42,few clouds,-5.1989,-35.4608,
81,kahului,US,76.84,clear sky,20.8947,-156.47,
83,pyu,MM,82.27,few clouds,18.4833,96.4333,
84,port hawkesbury,CA,77.9,clear sky,45.6169,-61.3485,
85,kimberley,ZA,71.29,clear sky,-28.7323,24.7623,
87,cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,
88,cidreira,BR,70.38,overcast clouds,-30.1811,-50.2056,
92,litovko,RU,71.62,overcast clouds,49.2361,135.1742,
93,tura,IN,75.06,overcast clouds,25.5198,90.2201,
95,hanyang,CN,75.65,broken clouds,32.1371,105.5126,
96,kigoma,TZ,80.13,scattered clouds,-4.8769,29.6267,
97,ponta do sol,PT,80.71,clear sky,32.6667,-17.1,
98,cape town,ZA,70.21,clear sky,-33.9258,18.4232,
99,timbiqui,CO,77.23,overcast clouds,2.7717,-77.6654,
102,pili,PH,77.7,overcast clouds,13.5833,123.3,
103,butaritari,KI,81.93,overcast clouds,3.0707,172.7902,
104,neiafu,TO,77.68,few clouds,-18.65,-173.9833,
107,san-pedro,CI,79.72,broken clouds,4.7485,-6.6363,
108,khor,RU,72.73,overcast clouds,47.8861,134.9464,
118,banda aceh,ID,79.79,overcast clouds,5.5577,95.3222,
119,sumbe,AO,74.19,overcast clouds,-11.2061,13.8437,
122,banswara,IN,83.41,overcast clouds,23.55,74.45,
124,kamaishi,JP,72.0,clear sky,39.2667,141.8833,
125,biak,ID,75.24,overcast clouds,-0.9131,122.8766,
126,tsabong,BW,79.16,few clouds,-26.0217,22.401,
127,kachiry,KZ,79.56,light rain,53.0675,76.1036,
128,mogadishu,SO,82.27,scattered clouds,2.0371,45.3438,
130,petatlan,MX,78.6,overcast clouds,17.5167,-101.2667,
133,sulina,RO,82.53,clear sky,45.1559,29.6536,
134,mizan teferi,ET,70.3,light rain,6.9833,35.5833,
135,odweyne,SO,87.62,scattered clouds,9.4092,45.064,
137,mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,
141,hasaki,JP,81.0,moderate rain,35.7333,140.8333,
143,muros,ES,75.09,broken clouds,42.7762,-9.0603,
148,faanui,PF,78.85,light rain,-16.4833,-151.75,
152,palmer,US,78.66,broken clouds,42.1584,-72.3287,
156,luwuk,ID,76.39,overcast clouds,-0.9516,122.7875,
159,xiashi,CN,89.62,clear sky,30.5363,120.6864,
160,yasnyy,RU,71.91,overcast clouds,51.0333,59.8742,
162,thiruvananthapuram,IN,80.58,overcast clouds,8.4833,76.9167,
163,cururupu,BR,87.46,clear sky,-1.8283,-44.8683,
167,cabo san lucas,MX,80.51,few clouds,22.8909,-109.9124,
169,kavieng,PG,82.92,overcast clouds,-2.5744,150.7967,
171,kulhudhuffushi,MV,81.75,overcast clouds,6.6221,73.07,
174,wenling,CN,79.05,clear sky,28.3669,121.36,
175,arvin,US,87.06,scattered clouds,35.2091,-118.8284,
176,richards bay,ZA,76.06,clear sky,-28.783,32.0377,
177,mitu,CO,71.64,overcast clouds,1.1983,-70.1733,
179,hithadhoo,MV,81.59,overcast clouds,-0.6,73.0833,
180,den helder,NL,71.96,overcast clouds,52.9599,4.7593,
182,careiro da varzea,BR,86.61,scattered clouds,-3.2003,-59.8119,
185,coahuayana,MX,77.74,overcast clouds,18.7333,-103.6833,
186,kanigoro,ID,73.36,overcast clouds,-8.13,112.219,
188,bobo dioulasso,BF,86.45,scattered clouds,11.1771,-4.2979,
189,avarua,CK,73.45,broken clouds,-21.2078,-159.775,
190,isangel,VU,74.57,overcast clouds,-19.55,169.2667,
191,torbay,CA,73.89,scattered clouds,47.6666,-52.7314,
193,lamont,US,85.08,scattered clouds,35.2597,-118.9143,
196,harlingen,US,83.93,clear sky,26.1906,-97.6961,
197,languyan,PH,80.02,overcast clouds,5.2618,120.0807,
198,houma,US,81.0,clear sky,29.5958,-90.7195,
203,mbigou,GA,78.31,overcast clouds,-1.9005,11.906,
205,lata,PT,83.48,clear sky,40.1629,-8.3327,
206,samokov,BG,77.5,moderate rain,42.3333,23.55,
207,camopi,GF,86.2,few clouds,3.1655,-52.3158,
208,kalemie,CD,80.29,few clouds,-5.9475,29.1947,
209,northam,GB,70.66,scattered clouds,51.0333,-4.2167,
210,siniscola,IT,89.15,clear sky,40.5719,9.6922,
211,chitral,PK,83.39,scattered clouds,35.8462,71.7858,
213,zhigansk,RU,71.28,broken clouds,66.7697,123.3711,
214,honiara,SB,76.44,few clouds,-9.4333,159.95,
215,ichchapuram,IN,84.54,scattered clouds,19.1167,84.7,
218,bilbor,RO,70.0,overcast clouds,47.05,25.5167,
219,umm kaddadah,SD,88.27,overcast clouds,13.6017,26.6876,
220,hamilton,US,79.09,few clouds,39.1834,-84.5333,
222,yar-sale,RU,71.92,overcast clouds,66.8333,70.8333,
224,luau,AO,87.51,overcast clouds,-10.7073,22.2247,
227,shimoda,JP,78.1,overcast clouds,34.6667,138.95,
229,zunyi,CN,71.22,clear sky,27.6867,106.9072,
230,polur,IN,85.57,overcast clouds,12.5,79.1333,
231,santa maria,BR,70.9,clear sky,-29.6842,-53.8069,
234,sao filipe,CV,80.15,broken clouds,14.8961,-24.4956,
236,aloleng,PH,83.61,moderate rain,16.1307,119.7824,
237,pundaguitan,PH,84.09,broken clouds,6.3711,126.1689,
239,saint-pierre,RE,74.88,broken clouds,-21.3393,55.4781,
240,namibe,AO,74.03,scattered clouds,-15.1961,12.1522,
242,carnarvon,AU,70.52,overcast clouds,-24.8667,113.6333,
243,las cruces,US,77.99,broken clouds,32.3123,-106.7783,
244,namatanai,PG,79.75,overcast clouds,-3.6667,152.4333,
246,razdolnoye,RU,72.01,overcast clouds,43.55,131.9167,
247,bambanglipuro,ID,75.02,overcast clouds,-7.95,110.2833,
249,ati,TD,89.87,overcast clouds,13.2154,18.3353,
250,upington,ZA,82.78,few clouds,-28.4478,21.2561,
252,adjumani,UG,75.24,light rain,3.3779,31.7909,
256,yongzhou,CN,83.05,overcast clouds,26.4559,111.5988,
261,bayan,CN,73.67,overcast clouds,46.0833,127.4,
263,xicotencatl,MX,78.53,broken clouds,23.0167,-98.8833,
264,nha trang,VN,84.2,broken clouds,12.25,109.1833,
266,miri,MY,78.94,scattered clouds,4.4148,114.0089,
269,chiang klang,TH,77.9,broken clouds,19.2938,100.8617,
270,ukiah,US,72.64,clear sky,39.1502,-123.2078,
271,kutum,SD,85.44,overcast clouds,14.2,24.6667,
272,leninskoye,KZ,88.57,overcast clouds,41.7589,69.3864,
273,bambous virieux,MU,72.21,scattered clouds,-20.3428,57.7575,
274,sur,OM,88.03,broken clouds,22.5667,59.5289,
279,laguna,US,70.02,clear sky,38.421,-121.4238,
283,marsh harbour,BS,82.89,few clouds,26.5412,-77.0636,
286,madera,US,86.97,clear sky,37.1666,-119.8343,
290,kilosa,TZ,79.07,overcast clouds,-6.8333,36.9833,
291,svetlogorsk,BY,71.49,overcast clouds,52.6333,29.7333,
293,udachnyy,RU,78.58,scattered clouds,66.4167,112.4,
294,ixhuatan,MX,77.92,overcast clouds,16.3569,-94.4825,
295,marawi,PH,70.23,overcast clouds,7.9986,124.2928,
297,kruisfontein,ZA,73.89,clear sky,-34.0033,24.7314,
303,griffith,US,70.9,overcast clouds,41.5284,-87.4237,
305,bandarbeyla,SO,79.66,clear sky,9.4942,50.8122,
306,bac lieu,VN,82.54,few clouds,9.285,105.7244,
309,tevaitoa,PF,78.28,light rain,-16.7833,-151.5,
311,ankang,CN,77.97,clear sky,32.68,109.0172,
313,maceio,BR,78.24,broken clouds,-9.6658,-35.7353,
