City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
0,tuktoyaktuk,69.4541,-133.0374,46.4,light rain,0.0,0,87,100,10.36,CA
1,punta arenas,-53.15,-70.9167,39.31,moderate rain,1.16,0,87,75,17.27,CL
2,douglas,41.3,-96.167,68.88,broken clouds,0.0,0,79,75,9.22,US
3,busselton,-33.65,115.3333,62.6,few clouds,0.0,0,82,18,16.6,AU
4,ushuaia,-54.8,-68.3,44.26,overcast clouds,0.0,0,65,100,10.36,AR
5,constitucion,-35.3333,-72.4167,51.94,clear sky,0.0,0,67,0,7.63,CL
6,souillac,-20.5167,57.5167,71.98,scattered clouds,0.0,0,73,40,10.36,MU
7,sechura,-5.5569,-80.8222,67.03,broken clouds,0.0,0,73,56,12.03,PE
8,saint george,37.1041,-113.5841,74.95,clear sky,0.0,0,83,0,4.61,US
9,alofi,-19.0595,-169.9187,73.29,broken clouds,0.0,0,83,81,12.66,NU
10,moron,-34.6534,-58.6198,51.96,overcast clouds,0.0,0,83,100,12.86,AR
11,chuy,-33.6971,-53.4616,54.52,overcast clouds,0.0,0,95,100,12.39,UY
12,mataura,-46.1927,168.8643,47.48,overcast clouds,0.0,0,98,100,2.77,NZ
13,russell,32.3502,-85.1999,81.12,clear sky,0.0,0,83,0,0.0,US
14,provideniya,64.3833,-173.3,46.74,overcast clouds,0.0,0,95,100,2.39,RU
15,albany,42.6001,-73.9662,80.28,clear sky,0.0,0,70,6,3.22,US
16,pula,44.8683,13.8481,88.36,clear sky,0.0,0,33,0,12.66,HR
17,karmala,18.4167,75.2,86.72,overcast clouds,0.0,0,57,100,2.51,IN
18,bubaque,11.2833,-15.8333,80.49,broken clouds,0.0,0,78,68,11.21,GW
19,rikitea,-23.1203,-134.9692,73.44,clear sky,0.0,0,65,0,20.54,PF
20,talnakh,69.4865,88.3972,61.21,few clouds,0.0,0,56,11,11.39,RU
21,kapaa,22.0752,-159.319,73.72,light rain,0.76,0,93,75,5.75,US
22,thompson,55.7435,-97.8558,57.36,few clouds,0.0,0,77,20,2.3,CA
23,nikolskoye,59.7035,30.7861,71.49,overcast clouds,0.0,0,56,94,6.82,RU
24,hengshui,37.7322,115.7011,72.75,clear sky,0.0,0,88,0,1.5,CN
25,surt,31.2089,16.5887,88.12,clear sky,0.0,0,46,0,10.47,LY
26,quatre cocos,-20.2078,57.7625,72.09,few clouds,0.0,0,74,13,9.82,MU
27,cherskiy,68.75,161.3,46.33,overcast clouds,0.0,0,64,100,6.42,RU
28,avera,33.194,-82.5271,82.54,overcast clouds,0.0,0,61,100,8.21,US
29,khatanga,71.9667,102.5,68.32,scattered clouds,0.0,0,51,47,7.65,RU
30,vila franca do campo,37.7167,-25.4333,81.19,clear sky,0.0,0,65,0,3.6,PT
